Player,Team1,Team2,Runs,Balls,4s,6s,Ducks,SR,Dream11_score
Evin Lewis,LSG,PBSK,55,23,6,3,0,239.13,85
Deepak Hooda,LSG,PBSK,13,8,1,1,0,162.5,20
Ayush Badoni,LSG,PBSK,19,9,0,2,0,211.11,27
Mayank Agarwal,PBSK,LSG,1,5,0,0,0,20,5
Shikhar Dhawan,PBSK,LSG,16,15,1,1,0,106.67,23
Bhanuka Rajapaksa,PBSK,LSG,31,9,3,3,0,344.44,48
Liam Livingstone,PBSK,LSG,19,16,1,1,0,118.75,26
Rajangad Bawa,PBSK,LSG,11,13,1,0,0,84.62,16
Harpreet Brar,PBSK,LSG,14,18,1,1,0,77.78,21
Odean Smith,PBSK,LSG,9,12,0,1,0,75,15
Kagiso Rabada,PBSK,LSG,25,16,4,1,0,156.25,39
Ajinkya Rahane,KKR,RR,12,11,3,0,0,109.09,19
Venkatesh Iyer,KKR,RR,3,7,0,0,0,42.86,7
Shreyas Iyer,KKR,RR,26,15,5,0,0,173.33,41
Sam Billings,KKR,RR,24,23,1,1,0,104.35,31
Andre Russell,KKR,RR,70,31,2,8,0,225.81,106
Jos Buttler,RR,KKR,100,68,11,5,0,147.06,143
Yashasvi Jaiswal,RR,KKR,1,2,0,0,0,50,5
Devdutt Padikkal,RR,KKR,7,7,1,0,0,100,12
Sanju Samson,RR,KKR,30,21,1,3,0,142.86,47
Shimron Hetmyer,RR,KKR,35,14,3,3,0,250,58
Riyan Parag,RR,KKR,5,4,1,0,0,125,10
Ravichandran Ashwin,RR,KKR,1,1,0,0,0,100,5
Navdeep Saini,RR,KKR,2,2,0,0,0,100,6
Trent Boult,RR,KKR,1,1,0,0,0,100,5
Ishan Kishan,MI,GT,54,43,5,1,0,125.58,73
Rohit Sharma,MI,GT,10,5,0,1,0,200,16
Anmolpreet Singh,MI,GT,5,4,1,0,0,125,10
Tilak Varma,MI,GT,61,33,3,5,0,184.85,92
Kieron Pollard,MI,GT,22,24,3,1,0,91.67,31
Tim David,MI,GT,1,3,0,0,0,33.33,5
Murugan Ashwin,MI,GT,6,8,1,0,0,75,11
Matthew Wade,GT,MI,1,2,0,0,0,50,5
Shubman Gill,GT,MI,84,46,6,4,0,182.61,116
Vijay Shankar,GT,MI,13,20,1,0,0,65,16
Hardik Pandya,GT,MI,31,27,4,0,0,114.81,43
David Miller,GT,MI,20,15,2,0,0,133.33,28
Rahul Tewatia,GT,MI,14,8,1,1,0,175,21
Abhinav Manohar,GT,MI,1,2,0,0,0,50,5
Prithvi Shaw,DC,PBSK,10,7,1,0,0,142.86,15
Tim Seifert,DC,PBSK,3,5,0,0,0,60,7
Mandeep Singh,DC,PBSK,18,16,4,0,0,112.5,26
Rishabh Pant,DC,PBSK,43,29,7,0,0,148.28,60
Lalit Yadav,DC,PBSK,25,22,2,1,0,113.64,33
Rovman Powell,DC,PBSK,20,12,2,1,0,166.67,32
Axar Patel,DC,PBSK,8,4,2,0,0,200,14
Shardul Thakur,DC,PBSK,2,5,0,0,0,40,6
Kuldeep Yadav,DC,PBSK,14,14,0,1,0,100,20
Mustafizur Rahman,DC,PBSK,3,5,0,0,0,60,7
Mayank Agarwal,PBSK,DC,4,2,1,0,0,200,9
Shikhar Dhawan,PBSK,DC,33,24,4,1,0,137.5,49
Bhanuka Rajapaksa,PBSK,DC,9,5,0,1,0,180,15
Liam Livingstone,PBSK,DC,60,32,5,5,0,187.5,93
Jitesh Sharma,PBSK,DC,26,17,0,3,0,152.94,40
Shahrukh Khan,PBSK,DC,6,11,0,0,0,54.55,6
Odean Smith,PBSK,DC,3,7,0,0,0,42.86,7
Kagiso Rabada,PBSK,DC,12,12,1,0,0,100,17
Rahul Chahar,PBSK,DC,12,8,1,1,0,150,19
Vaibhav Arora,PBSK,DC,1,2,0,0,0,50,5
Robin Uthappa,CSK,LSG,13,10,2,0,0,130,21
Ruturaj  Gaikwad,CSK,LSG,1,4,0,0,0,25,5
Ambati Rayudu,CSK,LSG,13,21,2,0,0,61.9,17
